Country,Cases,Deaths,Recoveries,Death_rate,Recovery_rate
United States,22732280,378777,9915571,0.016662516914273447,0.4361890228344891
India,10466595,151160,10092909,0.01444213710380501,0.964297271462209
Brazil,8133833,203617,7207483,0.025033339140353633,0.8861115048710737
Russia,3448203,62804,2825430,0.018213544852202727,0.8193920137532507
United Kingdom,3118518,81960,,0.02628171458365801,
France,2786838,68060,203072,0.024421943435535182,0.07286824709581254
Turkey,2336476,22981,2208451,0.009835752646292965,0.9452059426247049
Italy,2289021,79203,1633839,0.03460125529647828,0.713771957531189
Spain,2137220,52683,,0.024650246582008404,
Germany,1941119,42097,1545271,0.021686975399241366,0.7960722655334371
Colombia,1801903,46451,1632614,0.025778857130489267,0.9060498817083938
Argentina,1730904,44654,1518700,0.025798080078386784,0.8774027906804768
Mexico,1541633,134368,1160373,0.08715952499719454,0.7526908155183497
Poland,1395779,31593,1138126,0.02263467210783369,0.815405590713143
Iran,1299022,56360,1088465,0.04338648614111231,0.8379111362240208
South Africa,1246643,33579,973265,0.026935538081070524,0.7807086712073946
Ukraine,1124430,20019,812368,0.017803687201515435,0.722470940832244
Peru,1037350,38335,970916,0.0369547404444016,0.9359579698269629
Netherlands,878263,12411,,0.014131302354761614,
Indonesia,846765,24645,695807,0.029104887424492038,0.8217238549066151
Czech Republic,835454,13272,662429,0.015885973374955415,0.7928970356237447
Romania,673271,16725,600710,0.024841408585844334,0.8922261615307951
Canada,673018,17172,573908,0.02551491936322654,0.8527379654035999
Belgium,665223,20122,,0.03024850313353567,
Chile,649135,17182,608804,0.026469070378272626,0.9378696265029617
Iraq,603739,12906,558777,0.02137678698907972,0.9255274216176196
Bangladesh,524020,7819,468681,0.014921186214266632,0.8943952520896149
Pakistan,506701,10717,461977,0.021150540456797994,0.9117349284883984
Israel,501073,3704,425006,0.007392136475124383,0.8481917804391775
Philippines,491258,9554,458172,0.01944802934506919,0.9326504606540759
Sweden,489471,9433,,0.01927182611431525,
Portugal,489293,7925,372056,0.016196839112760656,0.760395100686092
Switzerland,484506,7695,317600,0.015882156258126834,0.6555130380222329
Morocco,452988,7767,426006,0.017146149566875945,0.9404355082253835
Austria,382258,6747,355530,0.017650382725802993,0.9300786379879558
Saudi Arabia,363949,6295,355706,0.01729637943777837,0.9773512222866391
Serbia,363924,3639,,0.009999340521647377,
Hungary,344352,10853,209852,0.031517168478765914,0.6094113000650497
Jordan,308670,4043,290430,0.013098130689733372,0.9409077655748858
Japan,292212,4094,225396,0.01401037602836297,0.7713440926450659
Panama,281353,4500,220833,0.01599414258955831,0.7848965534399847
Nepal,265698,1932,259358,0.0072714134092089515,0.9761383224563226
Georgia,241637,2820,227208,0.011670398159222304,0.9402864627519792
United Arab Emirates,232982,711,208366,0.0030517379024989056,0.8943437690465358
Azerbaijan,225346,2941,210798,0.013051041509500946,0.9354414988506563
Lebanon,222391,1629,143716,0.007324936710568324,0.6462311874131597
Ecuador,221506,14184,193581,0.06403438281581537,0.8739311801937645
Croatia,220982,4446,211633,0.020119285733679666,0.9576933867916844
Belarus,215724,1535,197851,0.0071155736033079306,0.917148764161614
Bulgaria,209131,8232,137842,0.039362887376811664,0.659117969119834
Slovakia,209069,3007,150239,0.014382811416326668,0.7186096456193888
Dominican Republic,183282,2427,138888,0.01324188954725505,0.7577830883556487
Denmark,182725,1597,155713,0.008739909700369407,0.8521712956628814
Costa Rica,180061,2353,138631,0.013067793692137664,0.7699113078345672
Bolivia,175288,9415,138809,0.053711606042626994,0.7918910592852905
Kazakhstan,163019,2319,149082,0.014225335697065987,0.9145068979689484
Armenia,162643,2941,150602,0.018082548895433558,0.9259666877762953
Tunisia,162350,5284,119446,0.03254696643055128,0.7357314444102249
Lithuania,161348,2272,95627,0.01408136450405335,0.5926754592557701
Kuwait,155335,946,149575,0.006090063411336788,0.9629188528020085
Ireland,155591,2397,24000,0.015405775398319953,0.15425056719218977
Egypt,150753,8249,119212,0.0547186457317599,0.7907769662958615
Moldova,150138,3176,139427,0.021153871771303734,0.9286589670836164
Palestine,148171,1614,132158,0.010892819782548541,0.8919289199640955
Qatar,146279,246,142938,0.0016817178132199427,0.9771600844960657
Greece,145179,5302,,0.03652043339601457,
Guatemala,143243,5025,131017,0.03508024824947816,0.9146485343088319
Malaysia,141533,559,110584,0.003949608925127002,0.7813301491524944
Slovenia,139713,3022,,0.021630055900309923,
Myanmar,131737,2878,115061,0.02184655791463294,0.8734144545571859
Oman,130780,1508,123024,0.011530815109343936,0.9406942957638783
Honduras,128701,3285,59301,0.02552427720064335,0.46076565061654534
Ethiopia,128616,2003,113563,0.015573490078994837,0.8829616843938546
Venezuela,116983,1073,110873,0.00917227289435217,0.9477701888308557
Paraguay,116535,2420,92324,0.020766293388252456,0.7922426738748015
Bosnia and Herzegovina,116200,4373,82822,0.037633390705679864,0.7127538726333907
Libya,105378,1589,81237,0.015079048757805235,0.7709104367135455
Algeria,102369,2812,69403,0.027469253387255907,0.6779689163711671
Nigeria,101331,1361,80491,0.01343123032438247,0.7943373696104844
Kenya,98432,1716,81255,0.01743335500650195,0.8254937418725617
Bahrain,95879,356,92645,0.0037130132771514097,0.9662699861283492
China,87433,4634,82211,0.0530005833037869,0.9402742671531344
North Macedonia,86597,2635,7992,0.03042830583045602,0.09228957123225978
Kyrgyzstan,82380,1371,78003,0.016642388929351784,0.9468681718863802
Uzbekistan,77350,615,75650,0.00795087265675501,0.978021978021978
Puerto Rico,77280,1616,,0.02091097308488613,
South Korea,69651,1165,53569,0.016726249443654792,0.7691059711992649
Albania,63971,1247,37981,0.019493207859811477,0.5937221553516437
Singapore,58865,29,58611,0.0004926526798606982,0.995685042045358
Ghana,56230,338,54631,0.00601102614262849,0.9715632224791036
Norway,55903,482,38658,0.008622077527145234,0.6915192386812873
Kosovo,53982,1383,46650,0.025619650994776037,0.8641769478715128
Afghanistan,53584,2301,44608,0.04294192296207823,0.8324873096446701
Montenegro,52819,729,42569,0.013801851606429504,0.8059410439425206
Latvia,50777,882,36260,0.017370069125785297,0.71410284183784
Sri Lanka,49537,244,42621,0.004925611159335447,0.8603871853362134
El Salvador,48905,1428,43356,0.02919946835701871,0.8865351191084756
Luxembourg,48027,535,44845,0.011139567326712058,0.9337456014325275
Uganda,37948,303,13018,0.00798461051965848,0.34304838199641613
